Intensity initial,Intensity final,Cs Con,NEA Con,CE
3125.2463112993128,12954.693678021593,0.2,0.33,0.0
2733.668419023747,7183.175062092539,0.2,0.33,0.01
1991.8423315646628,9184.198209109203,0.2,0.33,0.02
1285.7460638111954,5195.649823563879,0.2,0.32,0.0
1436.998687507071,5951.216966744281,0.2,0.32,0.02
1580.6507685734664,5613.20616281007,0.2,0.32,0.01
3542.3350561883017,8761.853741599602,0.0,0.0,0.0
3084.774284452805,8265.159545799155,0.2,0.31,0.02
4048.3528986774672,10287.864734824549,0.2,0.31,0.01
259.4664626,144.9629615,0.2,0.0,0.0
2552.40957,1696.309456,0.18,0.0,0.0
2657.808228,2074.125969,0.16,0.0,0.0
3043.003803,2144.507627,0.14,0.0,0.0
2232.60262,1361.973403,0.12,0.0,0.0
2580.65404,1664.009574,0.1,0.0,0.0
14717.89923,10361.08897,0.2,0.1,0.0
8735.825836,5336.238634,0.18,0.1,0.0
7812.938705,4620.951144,0.16,0.1,0.0
6364.67636,5096.365709,0.14,0.1,0.0
7092.830905,5844.057997,0.12,0.1,0.0
4452.312986,3657.387182,0.1,0.1,0.0
28969.25261,21459.31962,0.2,0.2,0.0
18369.63099,13153.94509,0.0,0.0,0.0
17290.74792,11414.83661,0.0,0.0,0.0
8309.773937,4411.313009,0.14,0.2,0.0
5312.16067,4274.494201,0.12,0.2,0.0
5908.014747,6522.154498,0.1,0.2,0.0
21619.73278,20616.56437,0.2,0.3,0.0
9451.271618,9454.279606,0.0,0.0,0.0
6750.103349,4060.460251,0.16,0.3,0.0
3646.56823,2326.51349,0.14,0.3,0.0
2175.151826,1896.732923,0.12,0.3,0.0
6041.044186,5496.332231,0.1,0.3,0.0
14330.02013,14159.20865,0.2,0.4,0.0
15460.66935,14408.40696,0.0,0.0,0.0
11063.26405,10252.54985,0.16,0.4,0.0
7653.768305,6908.662593,0.14,0.4,0.0
1095.291386,1033.970946,0.12,0.4,0.0
755.0599929,707.1010892,0.1,0.4,0.0
2879.892582051644,1613.302094458552,0.2,0.33,0.06
3125.2463112993128,12954.693678021593,0.2,0.33,0.0
1928.9488840438112,7337.907022838935,0.2,0.33,0.04
1284.0435457613144,4443.461125100516,0.2,0.33,0.07
2621.260941999264,7081.42656971223,0.2,0.33,0.03
1018.5539994286715,3430.31051659912,0.2,0.33,0.08
2733.668419023747,7183.175062092539,0.2,0.33,0.01
1991.8423315646628,9184.198209109203,0.2,0.33,0.02
2352.7098743512715,7569.553434111138,0.2,0.32,0.05
1449.6533956519688,4710.176751672936,0.2,0.32,0.06
605.6415543261072,2878.2551116928894,0.2,0.32,0.04
24.636244200463366,82.94290964316154,0.0,0.0,0.0
1080.3125020491088,6025.5766134464,0.0,0.0,0.0
1285.7460638111954,5195.649823563879,0.2,0.32,0.0
3070.279022687092,8509.535258442615,0.2,0.32,0.07
1505.7489539064702,5054.525892432736,0.2,0.32,0.03
3707.396113367162,10030.62881669614,0.0,0.0,0.0
1436.998687507071,5951.216966744281,0.2,0.32,0.02
1580.6507685734664,5613.20616281007,0.2,0.32,0.01
3132.3370350396867,8630.62284579464,0.2,0.31,0.03
3542.3350561883017,8761.853741599602,0.0,0.0,0.0
3084.774284452805,8265.159545799155,0.2,0.31,0.02
4048.3528986774672,10287.864734824549,0.2,0.31,0.01
259.4664626,144.9629615,0.2,0.0,0.0
2552.40957,1696.309456,0.18,0.0,0.0
2657.808228,2074.125969,0.16,0.0,0.0
3043.003803,2144.507627,0.14,0.0,0.0
2232.60262,1361.973403,0.12,0.0,0.0
2580.65404,1664.009574,0.1,0.0,0.0
14717.89923,10361.08897,0.2,0.1,0.0
8735.825836,5336.238634,0.18,0.1,0.0
7812.938705,4620.951144,0.16,0.1,0.0
6364.67636,5096.365709,0.14,0.1,0.0
7092.830905,5844.057997,0.12,0.1,0.0
4452.312986,3657.387182,0.1,0.1,0.0
28969.25261,21459.31962,0.2,0.2,0.0
18369.63099,13153.94509,0.0,0.0,0.0
17290.74792,11414.83661,0.0,0.0,0.0
8309.773937,4411.313009,0.14,0.2,0.0
5312.16067,4274.494201,0.12,0.2,0.0
5908.014747,6522.154498,0.1,0.2,0.0
21619.73278,20616.56437,0.2,0.3,0.0
9451.271618,9454.279606,0.0,0.0,0.0
6750.103349,4060.460251,0.16,0.3,0.0
3646.56823,2326.51349,0.14,0.3,0.0
2175.151826,1896.732923,0.12,0.3,0.0
6041.044186,5496.332231,0.1,0.3,0.0
14330.02013,14159.20865,0.2,0.4,0.0
15460.66935,14408.40696,0.0,0.0,0.0
11063.26405,10252.54985,0.16,0.4,0.0
7653.768305,6908.662593,0.14,0.4,0.0
1095.291386,1033.970946,0.12,0.4,0.0
755.0599929,707.1010892,0.1,0.4,0.0
